conversation_id,agent_id,category_id,channel_id,issue_status,resolution_time,date,customer_issue,tech_response,date
CONV-0119,119,119,119,Escalated,90,2025-04-29,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,2025-04-29
CONV-0120,120,120,120,Pending,89,2025-04-30,Forgot password,Restart your router.,2025-04-30
CONV-0121,121,121,121,Resolved,28,2025-05-01,Software installation failure,Clear cache and remove unnecessary programs.,2025-05-01
CONV-0122,122,122,122,Resolved after follow-up,14,2025-05-02,Printer not responding,Reinstall the printer drivers.,2025-05-02
CONV-0123,123,123,123,Pending,20,2025-05-03,Cannot connect to Wi-Fi,Reset your password using the link provided.,2025-05-03
CONV-0124,124,124,124,Pending,100,2025-05-04,Cannot connect to Wi-Fi,Restart your router.,2025-05-04
CONV-0125,125,125,125,Resolved after follow-up,67,2025-05-05,Unable to access email,Run a system diagnostic tool.,2025-05-05
CONV-0126,126,126,126,Escalated,25,2025-05-06,Printer not responding,Verify your email settings.,2025-05-06
CONV-0127,127,127,127,Escalated,90,2025-05-07,Forgot password,Clear cache and remove unnecessary programs.,2025-05-07
CONV-0128,128,128,128,Pending,61,2025-05-08,Unable to access email,Run a system diagnostic tool.,2025-05-08
CONV-0129,129,129,129,Resolved,120,2025-05-09,Forgot password,Follow the software installation guide.,2025-05-09
CONV-0130,130,130,130,Escalated,56,2025-05-10,Slow system performance,Run a system diagnostic tool.,2025-05-10
CONV-0131,131,131,131,Resolved after follow-up,119,2025-05-11,Software installation failure,Verify your email settings.,2025-05-11
CONV-0132,132,132,132,Escalated,56,2025-05-12,Forgot password,Run a system diagnostic tool.,2025-05-12
CONV-0133,133,133,133,Pending,19,2025-05-13,Printer not responding,Verify your email settings.,2025-05-13
CONV-0134,134,134,134,Pending,106,2025-05-14,Software installation failure,Restart your router.,2025-05-14
CONV-0135,135,135,135,Escalated,37,2025-05-15,Software installation failure,Clear cache and remove unnecessary programs.,2025-05-15
CONV-0136,136,136,136,Escalated,57,2025-05-16,Blue screen error,Reset your password using the link provided.,2025-05-16
CONV-0137,137,137,137,Resolved,60,2025-05-17,Cannot connect to Wi-Fi,Restart your router.,2025-05-17
CONV-0138,138,138,138,Resolved,70,2025-05-18,Printer not responding,Reset your password using the link provided.,2025-05-18
CONV-0139,139,139,139,Resolved,41,2025-05-19,Cannot connect to Wi-Fi,Run a system diagnostic tool.,2025-05-19
CONV-0140,140,140,140,Pending,87,2025-05-20,Unable to access email,Follow the software installation guide.,2025-05-20
CONV-0141,141,141,141,Resolved after follow-up,111,2025-05-21,Forgot password,Restart your router.,2025-05-21
CONV-0142,142,142,142,Resolved,5,2025-05-22,Software installation failure,Reinstall the printer drivers.,2025-05-22
CONV-0143,143,143,143,Pending,44,2025-05-23,Cannot connect to Wi-Fi,Reinstall the printer drivers.,2025-05-23
CONV-0144,144,144,144,Pending,120,2025-05-24,Blue screen error,Reset your password using the link provided.,2025-05-24
CONV-0145,145,145,145,Resolved after follow-up,85,2025-05-25,Unable to access email,Clear cache and remove unnecessary programs.,2025-05-25
CONV-0146,146,146,146,Escalated,22,2025-05-26,Unable to access email,Verify your email settings.,2025-05-26
CONV-0147,147,147,147,Pending,89,2025-05-27,Software installation failure,Restart your router.,2025-05-27
CONV-0148,148,148,148,Resolved,45,2025-05-28,Forgot password,Follow the software installation guide.,2025-05-28
CONV-0149,149,149,149,Pending,108,2025-05-29,Unable to access email,Follow the software installation guide.,2025-05-29
CONV-0150,150,150,150,Resolved after follow-up,116,2025-05-30,Printer not responding,Verify your email settings.,2025-05-30
CONV-0151,151,151,151,Resolved after follow-up,109,2025-05-31,Unable to access email,Verify your email settings.,2025-05-31
CONV-0152,152,152,152,Resolved,48,2025-06-01,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,2025-06-01
CONV-0153,153,153,153,Resolved after follow-up,85,2025-06-02,Printer not responding,Restart your router.,2025-06-02
CONV-0154,154,154,154,Resolved,73,2025-06-03,Cannot connect to Wi-Fi,Verify your email settings.,2025-06-03
CONV-0155,155,155,155,Pending,21,2025-06-04,Forgot password,Follow the software installation guide.,2025-06-04
CONV-0156,156,156,156,Escalated,14,2025-06-05,Slow system performance,Reset your password using the link provided.,2025-06-05
CONV-0157,157,157,157,Resolved,100,2025-06-06,Printer not responding,Run a system diagnostic tool.,2025-06-06
CONV-0158,158,158,158,Resolved,63,2025-06-07,Cannot connect to Wi-Fi,Reset your password using the link provided.,2025-06-07
CONV-0159,159,159,159,Resolved,94,2025-06-08,Printer not responding,Clear cache and remove unnecessary programs.,2025-06-08
CONV-0160,160,160,160,Escalated,91,2025-06-09,Blue screen error,Clear cache and remove unnecessary programs.,2025-06-09
CONV-0161,161,161,161,Resolved after follow-up,119,2025-06-10,Software installation failure,Reinstall the printer drivers.,2025-06-10
CONV-0162,162,162,162,Escalated,68,2025-06-11,Blue screen error,Clear cache and remove unnecessary programs.,2025-06-11
CONV-0163,163,163,163,Escalated,98,2025-06-12,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,2025-06-12
CONV-0164,164,164,164,Resolved,30,2025-06-13,Forgot password,Clear cache and remove unnecessary programs.,2025-06-13
CONV-0165,165,165,165,Pending,77,2025-06-14,Forgot password,Verify your email settings.,2025-06-14
CONV-0166,166,166,166,Escalated,15,2025-06-15,Printer not responding,Reinstall the printer drivers.,2025-06-15
CONV-0167,167,167,167,Escalated,80,2025-06-16,Slow system performance,Reset your password using the link provided.,2025-06-16
CONV-0168,168,168,168,Resolved after follow-up,98,2025-06-17,Slow system performance,Clear cache and remove unnecessary programs.,2025-06-17
CONV-0169,169,169,169,Resolved after follow-up,91,2025-06-18,Printer not responding,Reinstall the printer drivers.,2025-06-18
CONV-0170,170,170,170,Resolved,27,2025-06-19,Software installation failure,Clear cache and remove unnecessary programs.,2025-06-19
CONV-0171,171,171,171,Pending,71,2025-06-20,Printer not responding,Clear cache and remove unnecessary programs.,2025-06-20
CONV-0172,172,172,172,Resolved after follow-up,88,2025-06-21,Forgot password,Clear cache and remove unnecessary programs.,2025-06-21
CONV-0173,173,173,173,Escalated,21,2025-06-22,Software installation failure,Reset your password using the link provided.,2025-06-22
CONV-0174,174,174,174,Escalated,7,2025-06-23,Blue screen error,Restart your router.,2025-06-23
CONV-0175,175,175,175,Escalated,45,2025-06-24,Cannot connect to Wi-Fi,Follow the software installation guide.,2025-06-24
CONV-0176,176,176,176,Pending,33,2025-06-25,Printer not responding,Follow the software installation guide.,2025-06-25
CONV-0177,177,177,177,Resolved,37,2025-06-26,Slow system performance,Follow the software installation guide.,2025-06-26
CONV-0178,178,178,178,Escalated,115,2025-06-27,Forgot password,Reinstall the printer drivers.,2025-06-27
CONV-0179,179,179,179,Pending,83,2025-06-28,Cannot connect to Wi-Fi,Reset your password using the link provided.,2025-06-28
CONV-0180,180,180,180,Pending,70,2025-06-29,Printer not responding,Follow the software installation guide.,2025-06-29
CONV-0181,181,181,181,Resolved,83,2025-06-30,Software installation failure,Verify your email settings.,2025-06-30
CONV-0182,182,182,182,Resolved,9,2025-07-01,Slow system performance,Clear cache and remove unnecessary programs.,2025-07-01
CONV-0183,183,183,183,Escalated,74,2025-07-02,Printer not responding,Restart your router.,2025-07-02
CONV-0184,184,184,184,Resolved,83,2025-07-03,Unable to access email,Reinstall the printer drivers.,2025-07-03
CONV-0185,185,185,185,Escalated,25,2025-07-04,Slow system performance,Verify your email settings.,2025-07-04
CONV-0186,186,186,186,Resolved,98,2025-07-05,Forgot password,Verify your email settings.,2025-07-05
CONV-0187,187,187,187,Resolved,7,2025-07-06,Unable to access email,Clear cache and remove unnecessary programs.,2025-07-06
CONV-0188,188,188,188,Resolved after follow-up,12,2025-07-07,Unable to access email,Run a system diagnostic tool.,2025-07-07
CONV-0189,189,189,189,Resolved,96,2025-07-08,Software installation failure,Run a system diagnostic tool.,2025-07-08
CONV-0190,190,190,190,Pending,34,2025-07-09,Software installation failure,Reset your password using the link provided.,2025-07-09
CONV-0191,191,191,191,Escalated,115,2025-07-10,Blue screen error,Reset your password using the link provided.,2025-07-10
CONV-0192,192,192,192,Resolved after follow-up,89,2025-07-11,Printer not responding,Follow the software installation guide.,2025-07-11
CONV-0193,193,193,193,Escalated,83,2025-07-12,Forgot password,Run a system diagnostic tool.,2025-07-12
CONV-0194,194,194,194,Escalated,15,2025-07-13,Cannot connect to Wi-Fi,Reset your password using the link provided.,2025-07-13
CONV-0195,195,195,195,Escalated,74,2025-07-14,Printer not responding,Clear cache and remove unnecessary programs.,2025-07-14
CONV-0196,196,196,196,Resolved,45,2025-07-15,Slow system performance,Run a system diagnostic tool.,2025-07-15
CONV-0197,197,197,197,Resolved,59,2025-07-16,Printer not responding,Clear cache and remove unnecessary programs.,2025-07-16
CONV-0198,198,198,198,Resolved,108,2025-07-17,Software installation failure,Reinstall the printer drivers.,2025-07-17
CONV-0199,199,199,199,Resolved after follow-up,13,2025-07-18,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,2025-07-18
CONV-0200,200,200,200,Pending,39,2025-07-19,Unable to access email,Verify your email settings.,2025-07-19
CONV-0201,201,201,201,Escalated,18,2025-07-20,Software installation failure,Reset your password using the link provided.,2025-07-20
CONV-0202,202,202,202,Resolved after follow-up,73,2025-07-21,Cannot connect to Wi-Fi,Follow the software installation guide.,2025-07-21
CONV-0203,203,203,203,Resolved after follow-up,67,2025-07-22,Printer not responding,Follow the software installation guide.,2025-07-22
CONV-0204,204,204,204,Resolved after follow-up,79,2025-07-23,Forgot password,Follow the software installation guide.,2025-07-23
CONV-0205,205,205,205,Escalated,13,2025-07-24,Cannot connect to Wi-Fi,Reset your password using the link provided.,2025-07-24
CONV-0206,206,206,206,Escalated,81,2025-07-25,Blue screen error,Clear cache and remove unnecessary programs.,2025-07-25
CONV-0207,207,207,207,Pending,63,2025-07-26,Blue screen error,Run a system diagnostic tool.,2025-07-26
CONV-0208,208,208,208,Pending,22,2025-07-27,Software installation failure,Reset your password using the link provided.,2025-07-27
CONV-0209,209,209,209,Pending,82,2025-07-28,Cannot connect to Wi-Fi,Run a system diagnostic tool.,2025-07-28
CONV-0210,210,210,210,Resolved after follow-up,5,2025-07-29,Blue screen error,Verify your email settings.,2025-07-29
CONV-0211,211,211,211,Escalated,108,2025-07-30,Cannot connect to Wi-Fi,Follow the software installation guide.,2025-07-30
CONV-0212,212,212,212,Escalated,82,2025-07-31,Blue screen error,Run a system diagnostic tool.,2025-07-31
CONV-0213,213,213,213,Escalated,102,2025-08-01,Printer not responding,Clear cache and remove unnecessary programs.,2025-08-01
CONV-0214,214,214,214,Escalated,16,2025-08-02,Cannot connect to Wi-Fi,Reset your password using the link provided.,2025-08-02
CONV-0215,215,215,215,Pending,37,2025-08-03,Printer not responding,Follow the software installation guide.,2025-08-03
CONV-0216,216,216,216,Resolved after follow-up,6,2025-08-04,Printer not responding,Restart your router.,2025-08-04
CONV-0217,217,217,217,Pending,118,2025-08-05,Slow system performance,Follow the software installation guide.,2025-08-05
CONV-0218,218,218,218,Escalated,75,2025-08-06,Software installation failure,Run a system diagnostic tool.,2025-08-06
CONV-0219,219,219,219,Escalated,48,2025-08-07,Software installation failure,Verify your email settings.,2025-08-07
CONV-0220,220,220,220,Resolved after follow-up,35,2025-08-08,Slow system performance,Restart your router.,2025-08-08
CONV-0221,221,221,221,Pending,48,2025-08-09,Blue screen error,Verify your email settings.,2025-08-09
CONV-0222,222,222,222,Resolved after follow-up,95,2025-08-10,Blue screen error,Reset your password using the link provided.,2025-08-10
CONV-0223,223,223,223,Resolved,94,2025-08-11,Forgot password,Restart your router.,2025-08-11
CONV-0224,224,224,224,Pending,46,2025-08-12,Cannot connect to Wi-Fi,Reset your password using the link provided.,2025-08-12
CONV-0225,225,225,225,Pending,45,2025-08-13,Software installation failure,Reinstall the printer drivers.,2025-08-13
CONV-0226,226,226,226,Pending,97,2025-08-14,Printer not responding,Reinstall the printer drivers.,2025-08-14
CONV-0227,227,227,227,Pending,34,2025-08-15,Blue screen error,Reinstall the printer drivers.,2025-08-15
CONV-0228,228,228,228,Resolved after follow-up,38,2025-08-16,Software installation failure,Reinstall the printer drivers.,2025-08-16
CONV-0229,229,229,229,Resolved after follow-up,11,2025-08-17,Unable to access email,Clear cache and remove unnecessary programs.,2025-08-17
CONV-0230,230,230,230,Escalated,16,2025-08-18,Forgot password,Verify your email settings.,2025-08-18
CONV-0231,231,231,231,Resolved,39,2025-08-19,Slow system performance,Run a system diagnostic tool.,2025-08-19
CONV-0232,232,232,232,Resolved after follow-up,92,2025-08-20,Software installation failure,Clear cache and remove unnecessary programs.,2025-08-20
CONV-0233,233,233,233,Resolved after follow-up,9,2025-08-21,Printer not responding,Follow the software installation guide.,2025-08-21
CONV-0234,234,234,234,Resolved after follow-up,102,2025-08-22,Software installation failure,Run a system diagnostic tool.,2025-08-22
CONV-0235,235,235,235,Pending,60,2025-08-23,Cannot connect to Wi-Fi,Verify your email settings.,2025-08-23
CONV-0236,236,236,236,Resolved,70,2025-08-24,Software installation failure,Restart your router.,2025-08-24
CONV-0237,237,237,237,Resolved,30,2025-08-25,Software installation failure,Verify your email settings.,2025-08-25
CONV-0238,238,238,238,Resolved,6,2025-08-26,Unable to access email,Verify your email settings.,2025-08-26
CONV-0239,239,239,239,Resolved,22,2025-08-27,Forgot password,Run a system diagnostic tool.,2025-08-27
CONV-0240,240,240,240,Pending,45,2025-08-28,Software installation failure,Clear cache and remove unnecessary programs.,2025-08-28
CONV-0241,241,241,241,Escalated,92,2025-08-29,Forgot password,Restart your router.,2025-08-29
CONV-0242,242,242,242,Resolved,25,2025-08-30,Unable to access email,Reset your password using the link provided.,2025-08-30
CONV-0243,243,243,243,Resolved,27,2025-08-31,Slow system performance,Clear cache and remove unnecessary programs.,2025-08-31
CONV-0244,244,244,244,Pending,86,2025-09-01,Cannot connect to Wi-Fi,Reinstall the printer drivers.,2025-09-01
CONV-0245,245,245,245,Resolved after follow-up,99,2025-09-02,Blue screen error,Follow the software installation guide.,2025-09-02
CONV-0246,246,246,246,Pending,19,2025-09-03,Cannot connect to Wi-Fi,Run a system diagnostic tool.,2025-09-03
CONV-0247,247,247,247,Escalated,18,2025-09-04,Printer not responding,Follow the software installation guide.,2025-09-04
CONV-0248,248,248,248,Resolved,78,2025-09-05,Blue screen error,Clear cache and remove unnecessary programs.,2025-09-05
CONV-0249,249,249,249,Resolved,97,2025-09-06,Software installation failure,Restart your router.,2025-09-06
CONV-0250,250,250,250,Pending,64,2025-09-07,Software installation failure,Restart your router.,2025-09-07
CONV-0251,251,251,251,Resolved after follow-up,45,2025-09-08,Slow system performance,Clear cache and remove unnecessary programs.,2025-09-08
CONV-0252,252,252,252,Resolved,18,2025-09-09,Blue screen error,Reset your password using the link provided.,2025-09-09
